Target_Offset_km_s,Control_Offset_km_s
-352.5508106787752,501.69547829488744
347.68825638187855,638.8922758891136
-328.18611664928255,-665.7742929548747
-305.3213787411203,526.1488424605593
-295.30233470250994,630.2472795933143
-301.6220665384543,640.363618302141
-280.1658048557576,559.6316612874756
-290.6679974227464,613.6913930887698
-294.5453625030298,618.6946349545857
-289.3340761234421,-430.9114382147505
-222.7899072136194,617.3842778500413
-330.6109244139604,570.6739379949681
-200.66903184490886,660.0501442549393
-320.51159215542674,583.2923337107816
-324.007630980239,-376.73547888746907
-139.106892845699,630.4067779051456
-172.41767107390373,639.4495953019251
-237.82098556784075,611.8026239523044
-240.09710035267634,629.2929827188632
-238.80006653139318,645.9217926409679
-238.5018675772582,412.6013561002915
-272.3471062236143,642.5002368091175
-261.5723618439687,-560.8755127910772
-282.13422874512554,573.2325371464584
-309.844162456708,-360.52309602290256
-322.9808251992657,-431.81519249034227
-317.54076446890025,305.5090106758341
-325.5407887866217,503.70424095998186
-323.76347897954787,622.9499506492224
-291.09797564703535,592.988710678966
-344.9556785079673,662.1950617701765
329.862433897779,528.4327303538942
-245.3699392365935,611.7052838569304
-370.8921039174088,569.1382824232514
-344.9128766461952,-639.3849659772162
-322.0815492239142,-516.9352642766075
-274.52161446473633,-613.3957881692612
-355.72728582858167,-544.782940854484
313.5003471969391,-617.0970174824249
265.90988029858215,-622.9376974716065
160.92136185738877,-475.4270093134684
307.69152493963935,-485.04196613195023
-107.04404823296441,-614.3375639760244
-344.20267091156154,-662.0887513549363
-334.4277922055857,-554.9885304725141
-345.82416571346306,-419.8137848870702
-304.482697456394,-614.4845264238975
-330.82363959322015,-448.544659806016
-171.04701078262497,-392.56499278924025
-194.3972014333848,156.86390361277103
-163.15801523027847,-605.4338613824061
-190.48128318854856,303.9420552942737
-185.35340734105046,307.5602924233576
-152.56244446134068,-93.99972006391026
-356.63813759061594,636.7437408111092
-310.9168966273299,610.6388168449773
-238.49665128910456,656.1112761018246
-242.46894668515037,437.6052693765294
-238.24284996443333,401.78148038660856
-234.0676885878841,458.755830711114
-240.6576694132177,646.9797871244178
-263.2939189216551,607.0437103460878
-337.23000180410037,614.6032298773956
-348.70528986089005,438.0835045901547
-345.14498746139884,607.598053753174
-80.75263724697518,650.4844677898755
-259.24790961917927,437.37650422944563
-252.7801589878971,-225.25771743701927
-250.54255415296393,581.5290346112889
-165.09929487200412,642.7391207038448
-289.8286974780168,264.7068235174665
-303.17331788343324,-466.7474213290425
-231.23278559735806,-660.9964836709485
-294.1157965798186,-612.6546208101984
-157.48181114889385,-349.2011185469868
-282.65777186174006,200.92653378634955
-253.4175695531504,-621.4776078367655
-288.4941088307601,368.51965669321436
-274.9543522317437,650.3144746430364
-242.23177866193546,644.9823176195387
-274.6482260339392,630.038737683388
-325.6022836299478,560.0852827610292
-305.7463043132592,639.083752276488
-337.1275849731659,608.2811662929049
-354.30564013376033,651.211840902918
-310.05484285259047,-654.0945987014858
-322.9891704786375,-165.44461553474346
-303.81674865062223,-609.8373600924042
-320.35188576794485,632.0654655300879
-301.2996783119422,626.7686880514259
-268.10495333465195,643.0633556745421
-247.84574201899193,609.699065326837
-158.26430513829118,639.3502055956266
-238.18368284109644,-125.75026016903523
-330.7361992598983,667.7436602841894
-193.63733029984635,658.120129007707
-228.15058043683797,659.0639539131269
-241.4884125001009,615.6616225301814
-120.95192072290979,616.8583027743931
-322.96811918844935,608.3574751144387
-324.1952983490918,595.9958379804641
-327.35126306755956,568.2820016818931
-288.3272400974755,663.6068828914116
-348.625421267195,648.6326236756519
-278.1333846637371,566.3296393300774
-348.9566014918387,651.4024583984904
-333.0194063721161,425.16419147944214
-317.10606598340064,487.6175846724928
-351.27802744436144,-570.9001313568624
-354.32575265312306,637.1404832219976
29.381691010779935,566.343778620314
378.2469823601881,650.3975965753923
218.78238854547152,620.4431079521759
359.639532541424,641.7179873709262
285.5344957513278,551.4187366216175
-331.6577946357526,649.1810423385699
-154.90960667789406,629.074219833172
-199.05945103323464,-35.82207391977827
-190.49015884961392,665.1241326952108
-207.5058773300128,580.3756724943768
-179.06579019419934,632.1032496452797
-306.5158295114795,-654.011508055795
-147.06581681954867,572.3112089924562
-103.20822349995407,611.2700834070143
-118.44165622369732,660.197776922519
-211.21786072476743,643.8369264075609
-259.1597086712707,619.7222752634203
-310.1390486406836,495.1706619955264
-241.3010355236402,-228.14674553409318
43.61422877558605,666.0945154097033
193.76110324935348,622.7272875049138
-357.82397059461107,669.1937957021998
-244.77546147975153,576.2450527886356
-273.7628109397093,598.3028007440972
-303.0754853588661,361.91942749013236
-233.3097830125644,626.5770671363393
332.4512788251394,645.4200940979115
-175.47453111338982,624.8530247061217
-184.63013783137782,643.7554174484225
-165.9144394549725,611.1360222340469
-95.08138084720527,616.0627417305012
,-324.3117802136383
,515.6674552349788
